id gender age edu country_id city_id urban_rural political_stance presidential_approval_rating china_attitude america_attitude pe_fina job ing4 fam_fina etid news_read year state_id state_name city_name code_muni abbrev_state aid_n first_aid if_aid aid_time
1104 2 26 15 15 152926301 2 10 2 2 NA 3 1 3 8 5 2 2012 1529 bahia "riachao do jacuipe" NA NA 0 NA 0 NA
37 1 36 4 15 151302553 2 8 1 2 2 2 1 7 7 5 NA 2012 1513 amazonas manaquiri NA NA 0 NA 0 NA
49 2 54 9 15 151302553 2 6 1 2 2 2 1 6 9 5 1 2012 1513 amazonas manaquiri NA NA 0 NA 0 NA
1328 2 23 4 15 153146008 2 3 4 3 2 3 5 7 4 5 2 2012 1531 "minas gerais" "ouro fino" NA NA 0 NA 0 NA
1118 2 46 5 15 152309904 2 1 5 2 1 3 1 2 3 7 1 2012 1523 ceara pacuja NA NA 0 NA 0 NA
742 1 46 0 15 155001102 2 NA 3 4 4 2 2 7 12 5 2 2012 1550 "mato grosso do sul" aquidauana NA NA 0 NA 0 NA
47 2 21 11 15 151302553 2 5 2 1 2 2 3 6 7 5 NA 2012 1513 amazonas manaquiri NA NA 0 NA 0 NA
725 1 20 7 15 152612604 2 10 2 3 3 1 2 3 8 3 2 2012 1526 pernambuco "santa maria da boa vista" NA NA 0 NA 0 NA
17 1 37 3 15 152309904 2 10 2 2 2 2 1 6 4 4 2 2012 1523 ceara pacuja NA NA 0 NA 0 NA
1112 1 32 8 15 152611101 2 5 1 2 1 1 1 4 8 4 1 2012 1526 pernambuco petrolina NA NA 0 NA 0 NA
645 1 28 0 15 152612604 2 NA 2 4 4 2 2 1 10 1506 1 2012 1526 pernambuco "santa maria da boa vista" NA NA 0 NA 0 NA
1422 2 19 8 15 152309904 2 8 1 3 3 2 5 7 2 5 1 2012 1523 ceara pacuja NA NA 0 NA 0 NA
1125 1 24 8 15 152112902 2 3 2 2 4 1 2 5 11 5 1 2012 1521 maranhao "vitoria do mearim" NA NA 0 NA 0 NA
1202 2 37 11 15 152309904 2 1 1 3 3 1 1 5 5 5 2 2012 1523 ceara pacuja NA NA 0 NA 0 NA
1294 2 29 8 15 155001102 2 NA 3 2 2 2 5 6 10 5 2 2012 1550 "mato grosso do sul" aquidauana NA NA 0 NA 0 NA
1484 2 48 6 15 155001102 2 NA 3 4 4 2 5 4 11 5 1 2012 1550 "mato grosso do sul" aquidauana NA NA 0 NA 0 NA
707 1 27 2 15 155001102 2 NA 4 3 2 3 1 7 9 5 2 2012 1550 "mato grosso do sul" aquidauana NA NA 0 NA 0 NA
724 2 31 10 15 152926301 2 9 3 3 3 1 5 5 6 5 1 2012 1529 bahia "riachao do jacuipe" NA NA 0 NA 0 NA
608 2 23 4 15 151301308 2 10 2 2 2 3 2 6 4 5 1 2012 1513 amazonas codajas NA NA 0 NA 0 NA
1293 2 20 9 15 155001102 2 NA 2 2 2 2 5 6 12 5 1 2012 1550 "mato grosso do sul" aquidauana NA NA 0 NA 0 NA
1208 1 36 4 15 151301308 2 10 2 2 2 3 2 6 6 5 4 2012 1513 amazonas codajas NA NA 0 NA 0 NA
