id gender age edu country_id nationality city_id urban_rural political_stance presidential_approval_rating china_attitude america_attitude pe_fina job ing4 fam_fina etid news_read year state_id state_name city_name code_muni abbrev_state aid_n first_aid if_aid aid_time
16150846 2 17 8 15 15 3168002 2 1 2 4 NA 3 3 1 0 1 1 2017 1531 "minas gerais" taiobeiras NA NA 0 NA 0 NA
16150758 2 34 7 15 15 2500601 2 NA 3 3 2 1 7 4 1 1 2 2017 1525 paraiba alhandra NA NA 0 NA 0 NA
16150083 1 21 10 15 15 1502103 2 5 3 2 1 3 4 4 1 1 1 2017 1515 para cameta NA NA 0 NA 0 NA
16150174 1 48 0 15 15 1502103 2 1 5 2 NA 3 3 3 NA NA 4 2017 1515 para cameta NA NA 0 NA 0 NA
16151146 1 61 3 15 15 2611101 2 5 5 1 1 3 6 4 6 1 3 2017 1526 pernambuco petrolina NA NA 0 NA 0 NA
16150457 2 52 14 15 15 2612604 2 9 5 3 3 3 6 4 6 4 4 2017 1526 pernambuco "santa maria da boa vista" NA NA 0 NA 0 NA
16150313 2 53 7 15 15 1502103 2 8 3 2 3 2 7 4 5 5 2 2017 1515 para cameta NA NA 0 NA 0 NA
16150654 1 54 0 15 15 2309904 2 1 3 2 3 3 2 6 1 4 2 2017 1523 ceara pacuja NA NA 0 NA 0 NA
16150200 2 35 5 15 15 4302808 2 10 2 3 3 2 2 5 1 4 1 2017 1543 "rio grande do sul" "cacapava do sul" NA NA 0 NA 0 NA
16150317 1 32 1 15 15 1301308 2 10 2 3 3 3 2 3 1 1 2 2017 1513 amazonas codajas NA NA 0 NA 0 NA
16150933 2 27 10 15 15 2112902 2 8 5 1 3 1 4 6 10 1 1 2017 1521 maranhao "vitoria do mearim" NA NA 0 NA 0 NA
16151486 2 42 11 15 15 2112902 2 8 2 4 NA 1 3 3 3 5 1 2017 1521 maranhao "vitoria do mearim" NA NA 0 NA 0 NA
16150283 1 36 8 15 15 2112902 2 7 5 2 NA 3 1 7 13 4 1 2017 1521 maranhao "vitoria do mearim" NA NA 0 NA 0 NA
16150970 1 76 4 15 15 5001102 2 1 3 1 2 3 6 2 7 5 2 2017 1550 "mato grosso do sul" aquidauana NA NA 0 NA 0 NA
16151423 2 61 3 15 15 4302808 2 9 3 2 1 3 6 5 2 1 2 2017 1543 "rio grande do sul" "cacapava do sul" NA NA 0 NA 0 NA
16151390 1 16 8 15 15 3146008 2 5 2 1 2 1 3 5 2 4 1 2017 1531 "minas gerais" "ouro fino" NA NA 0 NA 0 NA
16150166 1 39 4 15 15 1506708 2 10 2 1 3 1 1 6 6 5 1 2017 1515 para "santana do araguaia" NA NA 0 NA 0 NA
16150209 1 19 11 15 15 2611101 2 9 3 2 2 2 1 4 1 5 1 2017 1526 pernambuco petrolina NA NA 0 NA 0 NA
16150243 1 51 6 15 15 1506708 2 1 3 1 NA 1 3 4 4 1 1 2017 1515 para "santana do araguaia" NA NA 0 NA 0 NA
16150183 2 33 11 15 15 1302553 2 3 3 3 4 2 5 5 2 5 1 2017 1513 amazonas manaquiri NA NA 0 NA 0 NA
16151092 2 20 11 15 15 2612604 2 5 5 3 2 3 3 2 2 5 1 2017 1526 pernambuco "santa maria da boa vista" NA NA 0 NA 0 NA
16150442 2 25 11 15 15 1302553 2 5 3 2 2 3 3 3 1 5 1 2017 1513 amazonas manaquiri NA NA 0 NA 0 NA
16151324 2 30 8 15 15 2612604 2 3 3 1 3 3 1 4 1 5 1 2017 1526 pernambuco "santa maria da boa vista" NA NA 0 NA 0 NA
16150233 1 41 11 15 15 1502103 2 1 3 3 NA 3 4 3 3 5 1 2017 1515 para cameta NA NA 0 NA 0 NA
16150296 1 73 1 15 15 2112902 2 10 2 4 3 2 3 1 8 1 1 2017 1521 maranhao "vitoria do mearim" NA NA 0 NA 0 NA
16150935 2 20 11 15 15 1301308 2 4 4 2 NA 1 4 7 8 1 1 2017 1513 amazonas codajas NA NA 0 NA 0 NA
16150377 2 21 11 15 15 4322608 2 5 3 1 2 3 1 6 9 1 4 2017 1543 "rio grande do sul" "venancio aires" NA NA 0 NA 0 NA
16151228 1 65 3 15 15 5205802 2 6 3 4 2 3 7 1 NA 3 1 2017 1552 goias "corumba de goias" NA NA 0 NA 0 NA
16150796 1 18 11 15 15 2309904 2 10 4 2 3 2 4 7 4 4 1 2017 1523 ceara pacuja NA NA 0 NA 0 NA
16151479 1 45 11 15 15 2500601 2 7 2 1 NA 2 2 6 5 1 1 2017 1525 paraiba alhandra NA NA 0 NA 0 NA
16151477 2 44 11 15 15 1506708 2 1 5 3 NA 3 1 3 2 4 1 2017 1515 para "santana do araguaia" NA NA 0 NA 0 NA
16150489 2 20 9 15 15 3501301 2 5 5 2 4 3 1 1 6 1 1 2017 1535 "sao paulo" "alvares machado" NA NA 0 NA 0 NA
16150047 2 43 5 15 15 1302553 2 8 4 3 3 1 3 4 2 5 1 2017 1513 amazonas manaquiri NA NA 0 NA 0 NA
16150859 1 54 4 15 15 3146008 2 3 2 3 3 1 1 6 8 1 1 2017 1531 "minas gerais" "ouro fino" NA NA 0 NA 0 NA
16150084 1 45 6 15 15 2611101 2 8 3 3 4 2 1 3 15 1 1 2017 1526 pernambuco petrolina NA NA 0 NA 0 NA
16151350 2 29 10 15 15 2500601 2 10 4 2 4 3 5 1 0 5 1 2017 1525 paraiba alhandra NA NA 0 NA 0 NA
16150226 1 34 NA 15 15 2500601 2 6 3 4 4 3 7 3 1 1 5 2017 1525 paraiba alhandra NA NA 0 NA 0 NA
16151127 2 18 11 15 15 2500601 2 8 3 3 NA 1 4 5 0 4 1 2017 1525 paraiba alhandra NA NA 0 NA 0 NA
16151345 1 70 4 15 15 3501301 2 5 2 1 1 2 6 6 5 1 1 2017 1535 "sao paulo" "alvares machado" NA NA 0 NA 0 NA
16150197 2 30 11 15 15 5205802 2 NA 3 1 3 3 2 3 5 5 1 2017 1552 goias "corumba de goias" NA NA 0 NA 0 NA
16150451 2 33 1 15 15 2500601 2 6 1 3 1 3 1 6 2 4 5 2017 1525 paraiba alhandra NA NA 0 NA 0 NA
16150818 2 48 8 15 15 1302553 2 2 5 4 NA 1 5 5 1 5 2 2017 1513 amazonas manaquiri NA NA 0 NA 0 NA
16151522 1 36 11 15 15 3146008 2 4 3 3 4 1 1 5 14 1 2 2017 1531 "minas gerais" "ouro fino" NA NA 0 NA 0 NA
16150281 2 17 8 15 15 4302808 2 NA 3 3 1 2 4 1 2 1 1 2017 1543 "rio grande do sul" "cacapava do sul" NA NA 0 NA 0 NA
16151102 1 27 11 15 15 1301308 2 5 3 3 3 3 2 5 9 1506 4 2017 1513 amazonas codajas NA NA 0 NA 0 NA
16151002 2 20 11 15 15 4322608 2 5 3 2 1 1 1 3 9 1 1 2017 1543 "rio grande do sul" "venancio aires" NA NA 0 NA 0 NA
16151274 1 16 10 15 15 2612604 2 4 4 3 2 2 2 3 2 5 2 2017 1526 pernambuco "santa maria da boa vista" NA NA 0 NA 0 NA
16151135 1 44 8 15 15 2611101 2 4 3 3 3 1 2 7 7 1 1 2017 1526 pernambuco petrolina NA NA 0 NA 0 NA
16151299 1 18 11 15 15 1502103 2 7 3 4 4 1 3 5 1 5 1 2017 1515 para cameta NA NA 0 NA 0 NA
16151297 2 16 8 15 15 1506708 2 8 3 3 1 3 4 7 16 3 5 2017 1515 para "santana do araguaia" NA NA 0 NA 0 NA
16150310 1 22 11 15 15 5001102 2 6 5 4 4 3 4 4 4 5 1 2017 1550 "mato grosso do sul" aquidauana NA NA 0 NA 0 NA
16150842 1 22 17 15 15 4302808 2 5 3 1 3 2 1 3 15 1 1 2017 1543 "rio grande do sul" "cacapava do sul" NA NA 0 NA 0 NA
16150422 2 23 16 15 15 5205802 2 5 4 3 4 2 1 NA 10 1 1 2017 1552 goias "corumba de goias" NA NA 0 NA 0 NA
16150358 2 32 8 15 15 3146008 2 3 4 3 3 2 1 6 4 5 1 2017 1531 "minas gerais" "ouro fino" NA NA 0 NA 0 NA
16151183 1 18 8 15 15 4322608 2 6 3 2 2 2 1 4 9 1 1 2017 1543 "rio grande do sul" "venancio aires" NA NA 0 NA 0 NA
16150435 1 25 9 15 15 2500601 2 1 2 3 3 2 1 5 3 3 4 2017 1525 paraiba alhandra NA NA 0 NA 0 NA
16150168 1 32 16 15 15 3501301 2 10 5 2 1 3 1 7 14 4 1 2017 1535 "sao paulo" "alvares machado" NA NA 0 NA 0 NA
16151210 2 51 16 15 15 4322608 2 5 5 2 3 3 6 5 14 1 1 2017 1543 "rio grande do sul" "venancio aires" NA NA 0 NA 0 NA
16150337 1 40 11 15 15 1301308 2 3 2 1 3 2 1 5 9 1 1 2017 1513 amazonas codajas NA NA 0 NA 0 NA
16150393 2 21 11 15 15 1502103 2 5 5 1 1 3 4 4 NA 5 1 2017 1515 para cameta NA NA 0 NA 0 NA
16151488 1 43 10 15 15 3168002 2 NA 3 1 4 1 1 7 NA 4 2 2017 1531 "minas gerais" taiobeiras NA NA 0 NA 0 NA
16151015 1 29 16 15 15 1301308 2 2 3 3 1 3 2 5 14 5 4 2017 1513 amazonas codajas NA NA 0 NA 0 NA
16151397 1 30 10 15 15 3501301 2 5 3 2 4 2 1 3 7 4 1 2017 1535 "sao paulo" "alvares machado" NA NA 0 NA 0 NA
16150151 2 19 8 15 15 3501301 2 3 3 3 4 3 3 7 2 5 4 2017 1535 "sao paulo" "alvares machado" NA NA 0 NA 0 NA
16150724 1 62 11 15 15 4322608 2 7 2 2 3 2 6 6 13 1 1 2017 1543 "rio grande do sul" "venancio aires" NA NA 0 NA 0 NA
16150542 2 16 9 15 15 1302553 2 8 4 1 1 2 4 2 6 1 1 2017 1513 amazonas manaquiri NA NA 0 NA 0 NA
16150037 1 17 9 15 15 3501301 2 9 3 3 4 1 1 3 4 5 4 2017 1535 "sao paulo" "alvares machado" NA NA 0 NA 0 NA
16151061 1 26 11 15 15 2112902 2 8 4 2 3 3 1 6 12 5 1 2017 1521 maranhao "vitoria do mearim" NA NA 0 NA 0 NA
16151490 1 24 11 15 15 1502103 2 8 2 2 3 2 1 5 13 5 1 2017 1515 para cameta NA NA 0 NA 0 NA
16151311 1 45 11 15 15 3538006 1 4 4 1 2 3 3 4 14 5 1 2017 1535 "sao paulo" pindamonhangaba NA NA 0 NA 0 NA
16151474 2 38 11 15 15 3159605 1 3 5 3 3 2 2 5 4 1 5 2017 1531 "minas gerais" "santa rita do sapucai" NA NA 0 NA 0 NA
16151276 2 16 10 15 15 1302603 1 5 5 2 2 1 1 3 7 5 2 2017 1513 amazonas manaus NA NA 0 NA 0 NA
16150282 1 29 15 15 15 5300108 1 4 4 3 4 3 4 6 6 4 2 2017 1553 "distrito federal" brasilia 5300108 DF 1 2011 1 6
16150928 1 36 10 15 15 3304557 1 10 1 1 1 1 6 7 14 1 1 2017 1533 "rio de janeiro" "rio de janeiro" 3304557 RJ 2 2011 1 6
16150198 1 32 11 15 15 1200401 1 10 3 3 2 2 1 7 15 5 1 2017 1512 acre "rio branco" NA NA 0 NA 0 NA
16150588 1 49 1 15 15 5003207 1 10 1 1 1 1 3 6 1 5 2 2017 1550 "mato grosso do sul" corumba NA NA 0 NA 0 NA
16150297 1 43 11 15 15 2111300 1 NA 5 3 1 3 2 1 2 1 2 2017 1521 maranhao "sao luis" NA NA 0 NA 0 NA
16150677 2 21 11 15 15 5003207 1 10 5 1 1 3 5 1 6 5 1 2017 1550 "mato grosso do sul" corumba NA NA 0 NA 0 NA
16150299 1 25 12 15 15 3306305 1 9 2 3 3 2 4 7 9 5 1 2017 1533 "rio de janeiro" "volta redonda" NA NA 0 NA 0 NA
16150558 1 40 9 15 15 3300456 1 7 5 3 2 3 2 1 16 5 1 2017 1533 "rio de janeiro" "belford roxo" NA NA 0 NA 0 NA
16151141 1 49 11 15 15 4316907 1 3 3 2 3 3 6 7 8 1 2 2017 1543 "rio grande do sul" "santa maria" NA NA 0 NA 0 NA
16150645 1 19 9 15 15 3304144 1 10 5 1 1 1 2 6 9 4 2 2017 1533 "rio de janeiro" queimados NA NA 0 NA 0 NA
16151152 1 40 10 15 15 2927408 1 9 5 2 3 2 2 4 9 4 1 2017 1529 bahia salvador NA NA 0 NA 0 NA
16151200 1 39 7 15 15 4314100 1 5 5 4 4 2 1 4 9 1 1 2017 1543 "rio grande do sul" "passo fundo" NA NA 0 NA 0 NA
16151031 1 31 11 15 15 4314902 1 5 3 2 4 3 2 3 9 1 1 2017 1543 "rio grande do sul" "porto alegre" NA NA 0 NA 0 NA
16151258 1 28 11 15 15 1501402 1 4 3 3 2 2 3 4 6 5 1 2017 1515 para belem NA NA 0 NA 0 NA
16150968 1 41 10 15 15 2910800 1 5 5 2 3 2 2 5 9 5 1 2017 1529 bahia "feira de santana" NA NA 0 NA 0 NA
16150515 2 19 8 15 15 4106902 1 6 3 1 1 1 1 7 9 1 3 2017 1541 parana curitiba NA NA 0 NA 0 NA
16150735 1 44 11 15 15 1600303 1 5 4 3 4 2 1 1 16 5 1 2017 1516 amapa macapa NA NA 0 NA 0 NA
16150023 2 29 11 15 15 2304400 1 2 5 4 1 2 3 1 0 1 1 2017 1523 ceara fortaleza NA NA 0 NA 0 NA
16150261 1 21 10 15 15 3300456 1 5 3 1 3 2 1 7 9 5 1 2017 1533 "rio de janeiro" "belford roxo" NA NA 0 NA 0 NA
16150116 2 30 11 15 15 3550308 1 5 4 1 3 2 5 3 5 1 2 2017 1535 "sao paulo" "sao paulo" 3550308 SP 1 2012 1 5
16150447 1 43 11 15 15 5208707 1 8 4 3 4 3 1 6 2 4 2 2017 1552 goias goiania NA NA 0 NA 0 NA
16150307 2 21 11 15 15 2910800 1 1 5 3 3 3 2 3 4 7 1 2017 1529 bahia "feira de santana" NA NA 0 NA 0 NA
16150523 2 30 4 15 15 3301702 1 4 5 4 NA 3 3 4 1 4 1 2017 1533 "rio de janeiro" "duque de caxias" NA NA 0 NA 0 NA
