id gender age edr country_id nationality area area_city city_id sample_id ur1new presidential_approval_rating china_attitude america_attitude pe_fina job ing4 fam_fina etid news_read year edu urban_rural state_id state_name city_name code_muni abbrev_state aid_n first_aid if_aid aid_time
21150320488 1 28 2 15 15 1504 1500002021 1505274 151060821 1 5 2 2 2 NA 7 NA 5 1 2021 9 1 1500025 "sao paulo" "sao paulo" 3550308 SP 5 2012 1 9
21150396541 1 44 2 15 15 1504 1500002021 1505145 151441121 1 1 4 1 1 NA 7 NA 5 1 2021 9 1 1500025 "sao paulo" piracicaba NA NA 0 NA 0 NA
21150372573 2 44 3 15 15 1504 1500002021 1505274 150012821 1 5 4 2 3 NA 6 NA 1 1 2021 12 1 1500025 "sao paulo" "sao paulo" 3550308 SP 5 2012 1 9
21150310111 2 20 2 15 15 1504 1500002021 1503643 150349921 1 5 3 NA 1 NA 3 NA 4 1 2021 9 1 1500019 "rio de janeiro" "nova iguacu" 3303500 RJ 1 2020 1 1
21150446261 1 31 2 15 15 1504 1500002021 1503661 150377121 1 1 4 4 2 NA 7 NA 1 1 2021 9 1 1500019 "rio de janeiro" "rio de janeiro" 3304557 RJ 3 2011 1 10
21150235974 2 38 3 15 15 1504 1500002021 1501631 151333121 1 5 2 3 3 NA 7 NA 1 1 2021 12 1 1500013 "minas gerais" "belo horizonte" 3106200 MG 1 2013 1 8
21150175528 2 18 3 15 15 1504 1500002021 1505138 151408421 1 3 3 3 1 NA 3 NA 5 1 2021 12 1 1500025 "sao paulo" "pilar do sul" NA NA 0 NA 0 NA
21150005065 2 67 3 15 15 1504 1500002021 1501985 150247521 2 5 2 2 3 NA 7 NA 5 1 2021 12 1 1500013 "minas gerais" "juiz de fora" NA NA 0 NA 0 NA
21150115615 1 34 3 15 15 1504 1500002021 1505274 150349021 1 1 3 2 3 NA 7 NA 1 1 2021 12 1 1500025 "sao paulo" "sao paulo" 3550308 SP 5 2012 1 9
21150201389 1 64 3 15 15 1504 1500002021 1505274 151446821 1 2 1 2 1 NA 6 NA 5 1 2021 12 1 1500025 "sao paulo" "sao paulo" 3550308 SP 5 2012 1 9
21150331890 2 69 3 15 15 1505 1500002021 1502976 150866321 2 3 3 2 3 NA 7 NA 1 1 2021 12 1 1500016 parana londrina NA NA 0 NA 0 NA
21150066363 1 16 2 15 15 1504 1500002021 1501631 150540521 1 5 3 2 2 NA 7 NA 4 1 2021 9 1 1500013 "minas gerais" "belo horizonte" 3106200 MG 1 2013 1 8
