id gender age edre country_id nationality area city_level area_city city_id sample_id urban_rural living_cluster political_stance presidential_approval_rating env_attitude china_attitude russia_attitude america_attitude pe_fina ocupoit ing4 cp13 fam_fina etid news_read smedia3n smedia3b year edu state_id state_name city_name code_muni abbrev_state aid_n first_aid if_aid aid_time
9058 1 44 0 15 15 1502 1 1502 152910800 67 1 232 6 3 1 4 4 4 2 NA 3 4 1502 1506 5 NA NA 2023 0 1529 bahia "feira de santana" NA NA 0 NA 0 NA
5106 1 18 3 15 15 1502 1 1502 152927408 66 1 91 6 3 2 3 3 3 2 1 4 4 1502 1506 1 2 NA 2023 9 1529 bahia salvador NA NA 0 NA 0 NA
8530 1 35 3 15 15 1502 1 1502 152927408 66 1 66 5 2 1 4 4 4 1 NA 2 3 1502 4 1 1 3 2023 9 1529 bahia salvador NA NA 0 NA 0 NA
4930 1 18 3 15 15 1502 1 1502 152910800 67 1 231 1 1 1 3 4 3 2 NA 7 4 1502 5 1 1 2 2023 9 1529 bahia "feira de santana" NA NA 0 NA 0 NA
6570 1 45 1 15 15 1502 1 1502 152927408 66 1 91 9 2 4 4 NA NA 1 NA 7 1 1502 4 2 NA NA 2023 3 1529 bahia salvador NA NA 0 NA 0 NA
1369 1 26 5 15 15 1502 1 1502 152927408 66 1 66 1 2 1 2 2 4 1 9 7 2 1514 1 1 1 1 2023 14 1529 bahia salvador NA NA 0 NA 0 NA
4376 2 16 3 15 15 1502 1 1502 152927408 66 1 66 5 3 2 4 4 3 2 NA 7 4 NA 1 3 1 2 2023 9 1529 bahia salvador NA NA 0 NA 0 NA
3134 1 17 3 15 15 1502 1 1502 152910800 67 1 232 5 5 4 4 4 4 1 9 2 4 1515 4 5 5 NA 2023 9 1529 bahia "feira de santana" NA NA 0 NA 0 NA
4037 2 30 3 15 15 1502 1 1502 152910800 67 1 232 10 2 1 4 4 4 3 NA 1 4 1502 4 5 1 2 2023 9 1529 bahia "feira de santana" NA NA 0 NA 0 NA
1802 1 44 6 15 15 1505 2 1505 154317103 65 1 86 6 3 1 2 3 2 1 1 6 4 1513 1 1 2 NA 2023 16 1543 "rio grande do sul" "sant'ana do livramento" NA NA 0 NA 0 NA
